bj-pays,das,decks,don,hitSplitAces,peek,reSplitAces,sas,ss17,surr,csm_theoretical,csm_empiric,cut_theoretical,cut_empiric,csm_error,cut_card_error,abs_error_sum
1.5,False,2,9-11,True,False,True,2,True,2-10,0.3613,-0.1947,0.4243,-0.2764,0.1667,0.1479,0.3146
1.5,True,2,10-11,True,False,False,2,True,2-10,0.3582,-0.1957,0.4212,-0.2692,0.1625,0.152,0.3145
1.5,False,2,Any,False,False,True,2,True,2-10,0.4113,-0.2451,0.4743,-0.3269,0.1662,0.1475,0.3137
1.5,False,2,9-11,True,False,True,4,True,2-10,0.2931,-0.1298,0.3561,-0.2062,0.1633,0.1499,0.31320000000000003
1.5,False,6,9-11,False,False,True,4,False,2-10,0.8137,-0.649,0.8337,-0.6854,0.1647,0.1483,0.313
1.5,True,2,Any,True,False,False,3,True,2-10,0.0871,0.0793,0.1501,-0.0038,0.1664,0.1463,0.3127
1.2,True,6,10-11,False,False,True,4,False,2-10,2.1328,-1.9719,2.1528,-2.0014,0.1609,0.1514,0.3123
1.2,False,2,Any,True,False,False,3,True,2-10,1.6075,-1.4461,1.6705,-1.5197,0.1614,0.1508,0.3122
1.5,False,2,10-11,True,False,True,2,True,2-10,0.4633,-0.3016,0.5263,-0.3764,0.1617,0.1499,0.3116
1.5,False,2,Any,True,False,False,3,True,2-10,0.234,-0.0737,0.297,-0.1458,0.1603,0.1512,0.3115
1.2,False,6,9-11,False,False,True,4,False,2-10,2.1734,-2.0146,2.1934,-2.041,0.1588,0.1524,0.31120000000000003
1.2,True,6,9-11,False,False,True,4,False,2-10,2.0383,-1.8774,2.0583,-1.908,0.1609,0.1502,0.3111
1.2,False,2,Any,True,False,True,3,True,2-10,1.5705,-1.4075,1.6335,-1.4857,0.163,0.1478,0.31079999999999997
1.5,False,2,Any,False,False,False,4,True,2-10,0.3852,-0.2198,0.4482,-0.303,0.1653,0.1452,0.3105
1.5,True,6,Any,False,False,False,4,False,2-10,0.6355,-0.4764,0.6555,-0.5042,0.1591,0.1512,0.3103
1.5,False,6,10-11,False,False,False,4,False,2-10,0.9595,-0.8032,0.9795,-0.8259,0.1564,0.1536,0.31
1.5,False,6,9-11,False,False,False,2,False,2-10,0.9086,-0.7516,0.9286,-0.7765,0.157,0.1521,0.30910000000000004
1.5,False,6,10-11,False,False,True,2,False,2-10,0.9915,-0.8357,1.0115,-0.8583,0.1558,0.1532,0.309
1.5,False,6,Any,False,False,False,3,False,2-10,0.7833,-0.6229,0.8033,-0.6552,0.1604,0.1481,0.3085
